2009-01-23,000821.SZ,机械
2009-01-23,000822.SZ,基础化工
2009-01-23,000823.SZ,电子元器件
2009-01-23,000825.SZ,钢铁
2009-01-23,000826.SZ,电力及公用事业
2009-01-23,000828.SZ,交通运输
2009-01-23,000829.SZ,商贸零售
2009-01-23,000830.SZ,基础化工
2009-01-23,000831.SZ,有色金属
2009-01-23,000833.SZ,轻工制造
2009-01-23,000835.SZ,煤炭
2009-01-23,000836.SZ,房地产
2009-01-23,000837.SZ,机械
2009-01-23,000838.SZ,房地产
2009-01-23,000839.SZ,综合
2009-01-23,000848.SZ,食品饮料
2009-01-23,000850.SZ,纺织服装
2009-01-23,000851.SZ,商贸零售
2009-01-23,000852.SZ,机械
2009-01-23,000856.SZ,建材
2009-01-23,000858.SZ,食品饮料
2009-01-23,000859.SZ,基础化工
2009-01-23,000860.SZ,农林牧渔
2009-01-23,000861.SZ,房地产
2009-01-23,000862.SZ,电力设备
2009-01-23,000868.SZ,汽车
2009-01-23,000869.SZ,食品饮料
2009-01-23,000875.SZ,电力及公用事业
2009-01-23,000876.SZ,农林牧渔
2009-01-23,000877.SZ,建材
2009-01-23,000878.SZ,有色金属
2009-01-23,000880.SZ,机械
2009-01-23,000881.SZ,商贸零售
2009-01-23,000882.SZ,商贸零售
2009-01-23,000883.SZ,电力及公用事业
2009-01-23,000885.SZ,建材
2009-01-23,000886.SZ,交通运输
2009-01-23,000887.SZ,汽车
2009-01-23,000888.SZ,餐饮旅游
2009-01-23,000889.SZ,商贸零售
2009-01-23,000890.SZ,机械
2009-01-23,000893.SZ,家电
2009-01-23,000895.SZ,食品饮料
2009-01-23,000897.SZ,房地产
2009-01-23,000898.SZ,钢铁
2009-01-23,000899.SZ,电力及公用事业
2009-01-23,000900.SZ,交通运输
2009-01-23,000901.SZ,国防军工
2009-01-23,000902.SZ,纺织服装
2009-01-23,000903.SZ,汽车
2009-01-23,000905.SZ,交通运输
2009-01-23,000908.SZ,综合
2009-01-23,000909.SZ,电子元器件
2009-01-23,000910.SZ,农林牧渔
2009-01-23,000911.SZ,农林牧渔
2009-01-23,000912.SZ,基础化工
2009-01-23,000913.SZ,汽车
2009-01-23,000915.SZ,医药
2009-01-23,000916.SZ,交通运输
2009-01-23,000917.SZ,传媒
2009-01-23,000919.SZ,医药
2009-01-23,000920.SZ,机械
2009-01-23,000923.SZ,机械
2009-01-23,000926.SZ,房地产
2009-01-23,000927.SZ,汽车
2009-01-23,000929.SZ,食品饮料
2009-01-23,000930.SZ,农林牧渔
2009-01-23,000931.SZ,房地产
2009-01-23,000932.SZ,钢铁
2009-01-23,000933.SZ,有色金属
2009-01-23,000936.SZ,基础化工
2009-01-23,000937.SZ,煤炭
2009-01-23,000938.SZ,计算机
2009-01-23,000939.SZ,电力及公用事业
2009-01-23,000948.SZ,计算机
2009-01-23,000949.SZ,基础化工
2009-01-23,000950.SZ,基础化工
2009-01-23,000951.SZ,汽车
2009-01-23,000952.SZ,医药
2009-01-23,000953.SZ,基础化工
2009-01-23,000955.SZ,纺织服装
2009-01-23,000957.SZ,汽车
2009-01-23,000958.SZ,电力及公用事业
2009-01-23,000959.SZ,钢铁
2009-01-23,000960.SZ,有色金属
2009-01-23,000961.SZ,房地产
2009-01-23,000962.SZ,有色金属
2009-01-23,000963.SZ,医药
2009-01-23,000965.SZ,房地产
2009-01-23,000966.SZ,电力及公用事业
2009-01-23,000967.SZ,电力设备
2009-01-23,000968.SZ,煤炭
2009-01-23,000969.SZ,有色金属
2009-01-23,000970.SZ,电子元器件
2009-01-23,000972.SZ,农林牧渔
2009-01-23,000973.SZ,基础化工
2009-01-23,000975.SZ,建材
2009-01-23,000976.SZ,基础化工
2009-01-23,000977.SZ,计算机
2009-01-23,000978.SZ,餐饮旅游
2009-01-23,000980.SZ,汽车
2009-01-23,000982.SZ,纺织服装
2009-01-23,000983.SZ,煤炭
2009-01-23,000985.SZ,石油石化
2009-01-23,000987.SZ,商贸零售
2009-01-23,000988.SZ,电子元器件
2009-01-23,000989.SZ,医药
2009-01-23,000990.SZ,电子元器件
2009-01-23,000993.SZ,电力及公用事业
2009-01-23,000995.SZ,食品饮料
2009-01-23,000997.SZ,计算机
2009-01-23,000998.SZ,农林牧渔
2009-01-23,000999.SZ,医药
2009-01-23,001696.SZ,汽车
2009-01-23,001896.SZ,电力及公用事业
2009-01-23,002001.SZ,医药
2009-01-23,002003.SZ,纺织服装
2009-01-23,002004.SZ,医药
2009-01-23,002005.SZ,家电
2009-01-23,002006.SZ,机械
2009-01-23,002007.SZ,医药
2009-01-23,002008.SZ,电子元器件
2009-01-23,002009.SZ,交通运输
2009-01-23,002010.SZ,基础化工
2009-01-23,002011.SZ,机械
2009-01-23,002012.SZ,轻工制造
2009-01-23,002013.SZ,国防军工
2009-01-23,002014.SZ,轻工制造
2009-01-23,002015.SZ,纺织服装
2009-01-23,002016.SZ,房地产
2009-01-23,002017.SZ,通信
2009-01-23,002018.SZ,基础化工
2009-01-23,002019.SZ,医药
2009-01-23,002020.SZ,医药
2009-01-23,002021.SZ,机械
2009-01-23,002022.SZ,医药
2009-01-23,002023.SZ,机械
2009-01-23,002024.SZ,商贸零售
2009-01-23,002025.SZ,国防军工
2009-01-23,002026.SZ,机械
2009-01-23,002027.SZ,计算机
2009-01-23,002028.SZ,电力设备
2009-01-23,002029.SZ,纺织服装
2009-01-23,002030.SZ,医药
2009-01-23,002031.SZ,汽车
2009-01-23,002032.SZ,家电
2009-01-23,002033.SZ,餐饮旅游
2009-01-23,002034.SZ,纺织服装
2009-01-23,002035.SZ,家电
2009-01-23,002036.SZ,纺织服装
2009-01-23,002037.SZ,基础化工
2009-01-23,002038.SZ,医药
2009-01-23,002039.SZ,电力及公用事业
2009-01-23,002040.SZ,交通运输
2009-01-23,002041.SZ,农林牧渔
2009-01-23,002042.SZ,纺织服装
2009-01-23,002043.SZ,建材
2009-01-23,002044.SZ,纺织服装
2009-01-23,002045.SZ,电子元器件
2009-01-23,002046.SZ,机械
2009-01-23,002047.SZ,机械
2009-01-23,002048.SZ,汽车
2009-01-23,002049.SZ,电子元器件
2009-01-23,002050.SZ,机械
2009-01-23,002051.SZ,建筑
2009-01-23,002052.SZ,电子元器件
2009-01-23,002053.SZ,基础化工
2009-01-23,002054.SZ,基础化工
2009-01-23,002055.SZ,电子元器件
2009-01-23,002056.SZ,电子元器件
2009-01-23,002057.SZ,钢铁
2009-01-23,002058.SZ,机械
2009-01-23,002059.SZ,房地产
2009-01-23,002060.SZ,建筑
2009-01-23,002061.SZ,基础化工
2009-01-23,002062.SZ,建筑
2009-01-23,002063.SZ,计算机
2009-01-23,002064.SZ,基础化工
2009-01-23,002065.SZ,计算机
2009-01-23,002066.SZ,建材
2009-01-23,002067.SZ,轻工制造
2009-01-23,002068.SZ,基础化工
2009-01-23,002069.SZ,农林牧渔
2009-01-23,002070.SZ,纺织服装
2009-01-23,002071.SZ,机械
2009-01-23,002072.SZ,纺织服装
2009-01-23,002073.SZ,计算机
2009-01-23,002074.SZ,电力设备
2009-01-23,002076.SZ,家电
2009-01-23,002077.SZ,电力设备
2009-01-23,002078.SZ,轻工制造
2009-01-23,002079.SZ,电子元器件
2009-01-23,002080.SZ,建材
2009-01-23,002081.SZ,建筑
2009-01-23,002082.SZ,建材
2009-01-23,002083.SZ,纺织服装
2009-01-23,002084.SZ,机械
2009-01-23,002085.SZ,汽车
2009-01-23,002086.SZ,农林牧渔
2009-01-23,002087.SZ,纺织服装
2009-01-23,002088.SZ,基础化工
2009-01-23,002089.SZ,通信
2009-01-23,002090.SZ,计算机
2009-01-23,002091.SZ,商贸零售
2009-01-23,002092.SZ,基础化工
2009-01-23,002093.SZ,通信
2009-01-23,002094.SZ,基础化工
2009-01-23,002095.SZ,传媒
2009-01-23,002096.SZ,基础化工
2009-01-23,002097.SZ,机械
2009-01-23,002098.SZ,纺织服装
2009-01-23,002099.SZ,医药
2009-01-23,002100.SZ,农林牧渔
2009-01-23,002101.SZ,机械
2009-01-23,002102.SZ,建材
2009-01-23,002103.SZ,轻工制造
2009-01-23,002104.SZ,通信
2009-01-23,002105.SZ,机械
2009-01-23,002106.SZ,电子元器件
2009-01-23,600000.SH,银行
2009-01-23,600004.SH,交通运输
2009-01-23,600006.SH,汽车
2009-01-23,600007.SH,房地产
2009-01-23,600008.SH,电力及公用事业
2009-01-23,600009.SH,交通运输
2009-01-23,600010.SH,钢铁
2009-01-23,600011.SH,电力及公用事业
2009-01-23,600012.SH,交通运输
2009-01-23,600015.SH,银行
2009-01-23,600016.SH,银行
2009-01-23,600017.SH,交通运输
2009-01-23,600018.SH,交通运输
2009-01-23,600019.SH,钢铁
2009-01-23,600020.SH,交通运输
2009-01-23,600021.SH,电力及公用事业
2009-01-23,600022.SH,钢铁
2009-01-23,600026.SH,交通运输
2009-01-23,600027.SH,电力及公用事业
2009-01-23,600028.SH,石油石化
2009-01-23,600029.SH,交通运输
2009-01-23,600030.SH,非银行金融
2009-01-23,600031.SH,机械
2009-01-23,600033.SH,交通运输
2009-01-23,600035.SH,交通运输
2009-01-23,600036.SH,银行
2009-01-23,600037.SH,传媒
2009-01-23,600038.SH,国防军工
2009-01-23,600039.SH,建筑
2009-01-23,600048.SH,房地产
2009-01-23,600050.SH,通信
2009-01-23,600051.SH,综合
2009-01-23,600052.SH,房地产
2009-01-23,600053.SH,房地产
2009-01-23,600054.SH,餐饮旅游
2009-01-23,600055.SH,医药
2009-01-23,600056.SH,医药
2009-01-23,600058.SH,商贸零售
2009-01-23,600059.SH,食品饮料
2009-01-23,600060.SH,家电
2009-01-23,600061.SH,纺织服装
2009-01-23,600062.SH,医药
2009-01-23,600063.SH,基础化工
