trade_date,symbol,OPEN,HIGH,LOW,CLOSE
2022-03-16,000905.SH,6068.8999,6173.7875,5824.3301,6156.2714
2022-03-16,000906.SH,4387.369,4500.3463,4254.493,4487.2051
2022-03-16,399001.SZ,11765.3058,12034.4583,11331.2257,12000.9593
2022-03-16,399005.SZ,8054.5848,8196.9016,7718.8159,8175.8491
2022-03-16,399006.SZ,2549.153,2639.9271,2478.4379,2635.0826
2022-03-16,399330.SZ,5385.8054,5533.1382,5206.1514,5515.2316
2022-03-17,000009.SH,5823.301,5941.2461,5817.834,5850.1968
2022-03-17,000010.SH,8976.2356,9074.9326,8903.9436,8941.5325
2022-03-17,000016.SH,2888.2367,2918.5357,2861.244,2877.2192
2022-03-17,000300.SH,4237.6722,4302.7426,4217.8038,4237.6956
2022-03-17,000688.SH,1144.9754,1163.5062,1138.0115,1142.713
2022-03-17,000852.SH,6777.7384,6934.4932,6768.6051,6818.5448
2022-03-17,000903.SH,4135.5906,4195.8642,4109.7482,4134.2655
2022-03-17,000905.SH,6233.6437,6369.8884,6225.9795,6267.5244
2022-03-17,000906.SH,4567.7231,4644.8159,4554.4417,4573.6431
2022-03-17,399001.SZ,12228.8429,12497.8562,12218.1695,12289.9733
2022-03-17,399005.SZ,8337.2424,8507.9442,8306.18,8376.3893
2022-03-17,399006.SZ,2684.841,2764.2487,2684.0368,2710.7262
2022-03-17,399330.SZ,5639.4888,5758.2048,5619.6602,5663.3716
2022-03-18,000009.SH,5838.6206,5919.8569,5820.3646,5916.6411
2022-03-18,000010.SH,8911.2991,9069.238,8875.5689,9039.4671
2022-03-18,000016.SH,2869.7011,2925.7235,2853.7733,2913.1854
2022-03-18,000300.SH,4218.4736,4283.3679,4194.9402,4265.9017
2022-03-18,000688.SH,1136.9841,1144.3212,1124.8531,1144.3212
2022-03-18,000852.SH,6792.3237,6882.6569,6773.4568,6879.3659
2022-03-18,000903.SH,4116.3223,4186.1414,4089.286,4165.3282
2022-03-18,000905.SH,6249.476,6338.2235,6231.7261,6332.2166
2022-03-18,000906.SH,4554.7052,4623.4005,4534.3047,4608.0868
2022-03-18,399001.SZ,12222.22,12368.5905,12141.7543,12328.647
2022-03-18,399005.SZ,8327.5787,8378.7565,8249.1774,8342.9106
2022-03-18,399006.SZ,2693.1543,2725.6903,2668.9349,2713.7948
2022-03-18,399330.SZ,5626.1938,5696.0681,5580.1536,5665.3089
2022-03-21,000009.SH,5925.3735,5976.5153,5879.3397,5947.892
2022-03-21,000010.SH,9049.8756,9054.8598,8926.2237,9003.61
2022-03-21,000016.SH,2919.2616,2919.2616,2868.3956,2892.1069
2022-03-21,000300.SH,4280.1397,4287.8166,4223.024,4258.7459
2022-03-21,000688.SH,1143.5474,1160.7095,1137.8125,1152.3256
2022-03-21,000852.SH,6886.0315,6983.5214,6867.3053,6954.4056
2022-03-21,000903.SH,4183.0089,4183.0089,4113.2288,4142.0345
2022-03-21,000905.SH,6340.5589,6389.2103,6284.8526,6358.943
2022-03-21,000906.SH,4621.2387,4635.3787,4564.6319,4606.8625
2022-03-21,399001.SZ,12385.8687,12469.9831,12257.6725,12379.636
2022-03-21,399005.SZ,8401.0878,8469.2424,8312.6744,8402.9039
2022-03-21,399006.SZ,2730.2093,2756.3514,2702.1766,2726.1798
2022-03-21,399330.SZ,5704.2161,5729.6602,5629.9136,5678.6405
2022-03-22,000009.SH,5936.7069,5973.3028,5901.156,5932.6067
