,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
903,300541.SZ,20201027,20201027,20200930,1,1,3,,,1708620851.92,1015539.42,,,,,,,,,,,,30086878.98,1739723270.32,1501262403.15,225863963.47,38813306.16,,,,,,65633660.38,1831573333.16,-91850062.84,,,,,,,35022798.83,,,,,35022798.83,-35022798.83,902881859.19,,,906773359.19,-164170852.873,806204884.89,31370898.46,,289548.0,837865331.35,68908027.84,-190.39,-57965024.22,182294425.42,124329401.2,3891500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
904,002837.SZ,20201027,20201027,20200930,1,1,3,,,942349647.62,14730841.37,,,,,,,,,,,,31979972.75,989060461.74,619685249.99,184129862.0,61330377.16,,,,,,123281762.17,988427251.32,633210.42,30000000.0,,203424.66,10000.0,,30213424.66,50479189.51,,,30000000.0,,80479189.51,-50265764.85,378054391.2,,13087597.42,391141988.62,-307294487.6383,273000000.0,64839816.39,,96798080.96,434637897.35,-43495908.73,-1661111.65,-94789574.81,410378367.86,315588793.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
905,000810.SZ,20201027,20201027,20200930,1,1,3,,,7614523238.49,315435028.21,,,,,,,,,,,,181555806.45,8111514073.15,5185595386.7,737846943.32,202760086.35,,,,,,478482618.41,6604685034.78,1506829038.37,,,20603258.46,2138436.75,,22741695.21,162680048.21,108945692.21,,,,271625740.42,-248884045.21,1897506423.5,,567649006.7,2465155430.2,649986175.3347,2362604413.71,136025705.32,1137600.0,880368828.6,3378998947.63,-913843517.43,-2217656.08,341883819.65,1768391982.35,2110275802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
906,000889.SZ,20201027,20201027,20200930,1,1,3,,,1868967331.47,,,,,,,,,,,,,59108284.28,1928075615.75,1461332877.59,385490344.05,77525120.01,,,,,,90773800.69,2015122142.34,-87046526.59,,,,546856.22,,546856.22,26316022.73,,,,,26316022.73,-25769166.51,211855948.44,,,211855948.44,-182195637.8425,264521423.85,23281953.79,,275000.0,288078377.64,-76222429.2,,-189038122.3,805296434.32,616258312.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
907,002681.SZ,20201027,20201027,20200930,1,1,3,,,2710013253.7,159953317.66,,,,,,,,,,,,116705983.98,2986672555.34,1968594056.32,465909391.98,129449464.32,,,,,,115610404.47,2679563317.09,307109238.25,1498684557.87,,,14522520.18,,1513207078.05,295671216.25,1960000.0,,1620988954.27,,1918620170.52,-405413092.47,799999999.0,,84000000.0,884759999.0,-701653740.718,622500000.0,138300841.04,,43730829.64,804531670.68,80228328.32,1210991.99,-16864533.91,781045467.4,764180933.49,760000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
908,002270.SZ,20201027,20201027,20200930,1,1,3,,,975996255.59,7129216.44,,,,,,,,,,,,51161994.09,1034287466.12,347403776.39,147368953.78,122817854.27,,,,,,146537527.7,764128112.14,270159353.98,,55000000.0,3481834.39,441105413.7,,499587248.09,73629196.52,517255819.13,,,,590885015.65,-91297767.56,145165000.0,,82908438.95,228073438.95,-8062581.5563,215100000.0,125794564.06,,42547435.08,383441999.14,-155368560.19,-2530642.11,20962384.12,389645606.1,410607990.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
909,600368.SH,20201027,20201027,20200930,1,1,3,,,1384950517.87,5439.83,,,,,,,,60000.0,,,,64232426.3,1449248384.0,679084993.68,91391315.73,76249803.0,-3463235.39,,,,,71836368.45,915099245.47,534149138.53,,,,1260.0,53116258.02,53117518.02,46414393.96,,,,,46414393.96,6703124.06,490000000.0,,,490000000.0,-250753838.3058,719680893.4,272050816.03,,,991731709.43,-501731709.43,,39120553.16,608278350.09,647398903.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
910,002192.SZ,20201027,20201027,20200930,1,1,3,,,148837610.53,607286.59,,,,,,,,,,,,16351616.14,165796513.26,105835760.77,42053789.4,12664527.51,,,,,,22773733.01,183327810.69,-17531297.43,,45000000.0,,36000.0,,45036000.0,83837631.31,22000000.0,,,,105837631.31,-60801631.31,120000000.0,,27800000.0,147800000.0,-40581839.73,36620000.0,3701980.14,,36017177.09,76339157.23,71460842.77,-40.09,-6872126.06,16627889.53,9755763.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
911,300592.SZ,20201027,20201027,20200930,1,1,3,,,237187255.6,,,,,,,,,,,,,21601695.18,258788950.78,162404756.19,39109514.62,8201992.95,,,,,,45237794.75,254954058.51,3834892.27,,,,7087.0,,7087.0,24949074.11,980000.0,,,,25929074.11,-25921987.11,100000000.0,,,100000000.0,-16059313.03,83000000.0,6319405.29,,43063.78,89362469.07,10637530.93,,-11449563.91,144743736.41,133294172.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
912,600084.SH,20201024,20201024,20200930,1,1,3,,,68653341.23,386048.75,,,,,,,,,,,,14440489.54,83479879.52,12362238.66,41477080.3,12509626.54,,,,,,27637787.76,93986733.26,-10506853.74,685200.12,,5000000.0,,,5685200.12,1337986.81,,,,,1337986.81,4347213.31,,,,,-44534640.89,,,,,,,,-6159640.43,90282145.86,84122505.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
