,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1884,002328.SZ,20200217,7224,486.89,14721,992.2,13532,912.06,12707,856.43,20142,1357.57,31432,2118.54,36413,2454.23,18451,1243.58,-77211,-5204.02
1885,603288.SH,20200217,8688,9149.35,5255,5538.99,11333,11934.1,9675,10189.73,5195,5468.7,8134,8566.1,1662,1750.11,3814,4007.45,288,308.91
1886,002672.SZ,20200217,66000,6656.93,48429,4893.6,80644,8144.37,86259,8712.46,61072,6172.59,68955,6959.02,5212,529.49,9285,938.3,-28191,-2826.4
1887,300336.SZ,20200217,208347,11957.28,240718,13981.15,335427,19317.93,363403,21040.13,304542,17528.1,333528,19122.18,190187,11139.08,100855,5798.93,219239,12815.07
1888,600179.SH,20200217,13233,541.18,11333,464.46,37486,1534.44,28521,1164.9,14614,597.27,29711,1216.03,4233,172.5,0,0.0,7464,314.42
1889,600333.SH,20200217,14393,650.85,16835,762.29,20592,931.0,19710,892.41,14772,668.61,13212,595.77,0,0.0,0,0.0,3343,154.6
1890,002711.SZ,20200217,203583,2896.29,162762,2325.52,223252,3175.91,196770,2802.05,95346,1358.74,130987,1857.59,0,0.0,31662,445.79,-53998,-742.9
1891,300172.SZ,20200217,10650,535.99,14696,740.0,13516,680.02,15194,764.67,8035,405.28,2311,116.61,0,0.0,0,0.0,7068,356.06
1892,600218.SH,20200217,54097,5645.32,53299,5583.7,78804,8236.26,69724,7295.94,57896,6069.92,70046,7324.42,17041,1790.62,14768,1538.06,15463,1640.38
1893,002688.SZ,20200217,96676,7639.0,87191,6901.93,101436,8021.23,117287,9275.58,80041,6345.83,82590,6528.92,17494,1384.22,8579,683.85,-4383,-323.92
1894,002842.SZ,20200217,23342,2583.57,23285,2586.09,27536,3052.57,28869,3201.67,11946,1327.39,15089,1669.31,5333,595.91,914,102.37,6051,676.95
1895,300506.SZ,20200217,29374,1996.3,33874,2305.62,37391,2543.12,37670,2561.09,23364,1589.82,25614,1739.87,7029,477.34,0,0.0,17514,1194.87
1896,600503.SH,20200217,105131,3406.77,133925,4351.05,144456,4686.84,153615,4983.67,156666,5078.42,108931,3526.55,31441,1026.53,41223,1337.29,113500,3687.57
