,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
99,000504.SZ,20200828,13.85,0.3769,0.5994,0.91,229.4594,139.0224,264.3558,32.1652,37.19,0.0,,31157.3901,31067.3201,19537.1546,431529.8529,430282.3834
100,000505.SZ,20200828,11.39,13.3845,19.2373,0.57,62.0957,53.2152,3.1782,1.1129,1.0471,0.0,,72695.0251,40612.7806,28256.5843,827996.3359,462579.571
101,000506.SZ,20200828,2.92,1.7232,2.7394,0.7,,,2.7052,5.2635,5.1122,0.0,,92901.7761,92867.0961,58418.9526,271273.1862,271171.9206
102,000507.SZ,20200828,5.87,0.7974,1.0526,0.96,24.6046,23.8343,1.0358,1.6442,1.665,0.7228,0.8518,93042.4895,84120.455,63728.0603,546159.4134,493787.0709
103,000509.SZ,20200828,2.28,1.1015,1.4519,0.83,,,,26.8403,34.0084,0.0,,82548.3117,82536.8348,62616.2428,188210.1507,188183.9833
104,000510.SZ,20200828,4.5,1.1393,1.3028,0.66,44.2053,46.0061,2.6569,1.1821,1.2391,0.0,,60918.2254,54947.9157,48051.8687,274132.0143,247265.6207
105,000513.SZ,20200828,54.32,2.0843,3.4459,1.54,39.2861,32.6294,4.6127,5.4541,5.3648,1.6788,2.0914,94228.3673,60286.9292,36466.1668,5118484.9117,3274785.9941
106,000514.SZ,20200828,4.13,0.5132,1.394,0.63,13.2185,12.8326,1.0682,4.0255,4.2894,0.0,0.7264,84377.0965,84377.0965,31062.1866,348477.4085,348477.4085
107,000516.SZ,20200828,5.92,1.6195,2.2197,1.41,,,2.5336,11.7751,9.826,1.4386,,197104.9302,192893.4684,140741.9645,1166861.1868,1141929.3329
108,000517.SZ,20200828,3.27,1.3633,6.1596,2.44,5.512,5.1816,1.4499,1.5627,1.3262,0.0,3.0581,318392.2485,247324.4816,54739.6868,1041142.6526,808751.0548
109,000518.SZ,20200828,5.23,2.4109,3.8993,0.88,375.7354,143.8472,8.6314,12.8855,10.6179,0.0,,102955.6222,102953.5693,63654.6193,538457.9041,538447.1674
110,000519.SZ,20200828,10.92,3.1002,5.9956,1.28,59.5835,54.9891,1.8273,2.8575,2.798,0.3755,0.4121,139255.8982,139149.2468,71951.7302,1520674.4083,1519509.7751
111,000520.SZ,20200828,3.68,0.4037,0.5493,0.89,115.8702,176.0957,9.0549,4.7,4.8807,0.0,,101208.3455,101208.3455,74386.7903,372446.7114,372446.7114
112,000521.SZ,20200828,3.32,1.2094,1.6908,0.9,61.4453,,0.7314,0.2095,0.244,1.8072,1.506,104459.7881,87252.8625,62407.0901,346806.4965,289679.5035
113,000523.SZ,20200828,6.05,0.7114,1.3007,0.68,61.878,119.9751,2.0225,0.3062,0.3409,0.3306,0.3306,62753.3125,62694.7136,34290.7454,379657.5406,379303.0173
114,000524.SZ,20200828,10.6,2.1711,8.3235,0.7,27.4078,,2.8156,0.8911,1.39,2.1226,1.1226,67020.8597,67013.9867,17479.7161,710421.1128,710348.259
115,000525.SZ,20200828,8.17,1.2376,2.7366,0.52,,,1.041,1.0283,1.1733,1.836,,58077.2873,57451.4828,25981.702,474491.4372,469378.6145
116,000526.SZ,20200828,69.2,2.2791,4.358,1.53,480.1074,,45.8106,2.2249,2.5619,0.0,,9619.5107,9619.5107,5030.7472,665670.1404,665670.1404
117,000528.SZ,20200828,7.38,1.7617,2.7095,1.48,10.7076,12.3424,1.0585,0.568,0.5796,2.03,2.0325,147592.1376,146263.2724,95100.1261,1089229.9755,1079422.9503
118,000529.SZ,20200828,9.35,3.6507,8.0242,1.39,22.1769,16.4375,3.1349,1.8079,1.6894,0.7487,1.0695,58379.033,56988.4377,25927.6102,545843.9586,532841.8925
119,000530.SZ,20200828,3.94,0.5536,0.7748,0.42,37.2818,,1.0051,1.8136,2.0388,1.269,0.7614,84321.2507,59860.6016,42768.9082,332225.7278,235850.7703
120,000531.SZ,20200828,10.52,1.1879,2.8241,0.83,17.54,9.4054,1.4722,2.2323,2.0897,1.9962,0.9506,68508.282,68508.282,28816.3546,720707.1266,720707.1266
121,000532.SZ,20200828,13.29,3.0097,5.9421,1.44,64.6863,61.424,5.3247,10.5902,10.4131,0.2257,0.2257,34470.834,34354.9746,17401.3421,458117.3839,456577.6124
