code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
300706.SZ,8.7166,10.5717,9.7454,9.0662,10.2872,11.1183,10.0796,9.6888,8.3362,8.4405,10.3866,8.0788
300654.SZ,3.1971,5.8563,3.6181,3.482,3.3444,3.6797,3.9025,4.217,4.0668,4.4527,3.9812,3.4836
603136.SH,2.938,2.9021,2.7903,3.3481,3.0147,3.2013,3.733,4.1402,3.5729,3.3434,3.6383,3.4257
603378.SH,3.5827,4.1282,4.0293,4.7918,5.8573,6.4924,11.0213,11.1652,9.158,6.5343,5.9467,4.4839
603367.SH,1.8004,1.6761,1.7117,1.537,1.4822,1.5841,1.8093,1.6207,1.4712,1.4083,1.4403,1.3455
002902.SZ,4.6156,4.4032,3.8489,3.4258,4.0381,3.8301,4.0401,4.0682,3.3361,3.1538,3.1775,2.5899
601086.SH,1.9429,1.8495,1.842,1.7037,1.7668,1.7891,2.0354,2.0714,1.8353,1.5927,1.6854,1.5143
300707.SZ,4.5412,4.2567,3.2675,4.2122,3.6927,3.757,4.0403,4.6077,3.8943,4.9712,4.5004,3.9763
300705.SZ,3.9377,3.86,3.4823,3.3418,3.4252,4.1503,5.9246,6.7039,6.4024,6.2834,6.3676,7.7781
603103.SH,4.3316,3.9112,3.6103,4.1244,4.2512,4.6798,5.7105,7.3826,5.791,5.264,5.805,6.2564
603110.SH,3.5337,3.4393,3.1471,3.1077,3.1641,3.4081,3.8749,3.8485,4.4348,4.9731,4.6776,6.6533
002903.SZ,3.5065,3.0286,2.9247,2.9333,3.0778,3.3808,3.4675,3.8119,3.4052,3.73,3.3803,3.0615
002906.SZ,1.8744,2.0465,1.6573,1.7936,1.7375,2.1484,2.8655,2.7272,2.4295,2.578,3.6451,3.66
603499.SH,3.8659,3.7669,4.0484,4.0656,4.5861,4.6153,4.2479,4.231,3.4323,3.3521,3.3309,2.8535
300708.SZ,4.9845,5.1626,4.3757,4.3973,4.8809,5.1858,5.3554,6.0509,9.629,9.6051,11.8628,9.1033
002905.SZ,1.9651,1.7921,1.9197,1.9293,2.082,2.0549,2.413,2.8816,2.5456,2.2851,2.5176,2.3239
603829.SH,2.5097,2.2694,2.3325,2.3331,2.5548,2.4381,2.9335,2.7998,2.9595,2.6122,2.5693,2.4552
603396.SH,2.6841,2.6622,2.1588,2.1747,2.4375,3.1294,3.3976,3.65,4.3678,4.184,3.3429,4.935
300710.SZ,3.0155,3.0144,2.8298,2.7139,2.8436,2.9756,3.2437,3.9038,3.6388,3.5651,4.2363,3.2942
300709.SZ,7.0555,8.5824,5.273,5.7374,5.5158,7.7906,7.7388,6.1686,4.9565,4.6604,4.6917,4.0558
002908.SZ,3.8179,3.7269,3.4244,3.2636,3.2854,3.8731,3.9181,4.0711,3.5276,3.6459,3.7188,3.6729
002907.SZ,7.4448,7.4238,7.908,7.0133,6.5006,6.9068,7.7734,7.0918,6.3519,5.9828,5.8856,5.019
603466.SH,2.6475,2.4139,2.4991,2.3697,2.5277,3.3074,3.2591,3.5021,2.9979,3.2577,3.5236,3.5266
603683.SH,2.0176,1.8365,1.7436,2.0088,1.9559,2.0542,2.2029,2.8689,2.1878,2.4394,2.2029,2.0007
603922.SH,1.8232,1.7498,1.8338,2.3673,2.2198,1.9146,2.276,2.3503,2.2571,2.1172,2.3142,1.7244
601108.SH,1.8643,1.9126,1.742,1.6274,1.6939,1.7467,2.9327,2.4762,2.432,2.1176,2.1918,2.0862
603607.SH,3.3508,2.938,2.8772,3.0007,2.8698,3.3883,3.5822,3.5076,3.0044,2.8656,3.0143,3.0598
603722.SH,5.508,5.6964,4.4,4.1141,4.3796,5.2499,8.585,6.2994,5.3469,4.7848,5.0321,4.3411
002909.SZ,3.9127,3.3579,3.8617,3.4622,3.856,4.7593,6.2731,5.2338,4.1996,4.3265,4.7255,4.2808
