code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
002044.SZ,69.1089,64.6883,58.0083,,,,,,,,,
002045.SZ,39.0302,34.2771,10.9698,11.1634,11.7446,12.894,12.0881,19.961,21.1192,22.6066,21.2522,21.4738
002046.SZ,191.4128,181.782,106.2865,,,,,266.1809,238.4478,97.5641,101.6577,114.5071
002047.SZ,28.4695,23.8597,29.4527,47.1363,46.186,48.0866,47.9916,55.0569,48.0601,73.452,78.2869,66.3858
002048.SZ,12.6568,14.7298,10.5104,11.8168,10.122,10.2616,10.9661,12.601,11.9946,11.135,11.1758,10.6038
002049.SZ,79.6704,86.9001,74.8286,70.6685,79.0689,83.4871,145.5602,123.6549,117.2205,89.7956,84.0475,111.9601
002050.SZ,43.4072,38.7023,31.2817,44.3424,44.9865,57.2582,62.0166,59.1814,58.1339,60.2719,57.7328,60.7649
002051.SZ,10.9219,10.9827,9.694,10.7255,10.5804,10.5658,15.542,15.2001,14.0577,20.107,22.0247,20.601
601001.SH,10.2035,9.193,8.6754,6.4442,6.7953,6.8831,9.2536,9.2517,9.0242,8.8915,10.0086,10.7235
002053.SZ,22.1612,20.4459,19.042,20.9906,21.5185,21.9843,24.3752,26.0958,23.3907,25.995,25.7584,25.1499
601988.SH,5.7017,5.6069,5.4666,5.4198,5.3731,5.4198,5.1862,5.5407,5.4055,5.3717,5.5981,5.3945
002055.SZ,24.9057,36.9471,,,,,,,,,,
002054.SZ,27.438,27.5142,24.8953,24.7462,24.1544,24.7092,29.5812,31.9786,28.2278,27.4931,26.7624,25.6303
600048.SH,6.885,7.2712,6.6784,6.9164,6.1158,6.2955,6.6197,6.8311,6.7604,6.4884,7.2746,6.6831
601006.SH,7.8956,7.2598,6.9727,8.7252,8.2878,8.5551,7.8867,8.7838,8.4521,9.0921,9.6169,9.163
002057.SZ,38.2752,31.1784,28.8611,35.3382,44.9214,37.2984,42.3623,33.9692,30.6364,26.4435,29.4025,26.7431
002056.SZ,23.4057,28.0821,23.7598,25.3797,26.5895,27.7745,27.2058,26.9984,29.279,27.0756,26.5935,29.2933
002060.SZ,15.2948,14.5581,15.8909,15.2859,14.7328,14.5316,16.7943,15.4149,14.8095,14.204,13.1461,13.6836
002059.SZ,8.774,8.3492,8.1275,56.6936,52.1123,52.7995,69.2922,99.1231,89.1443,78.5002,,
002062.SZ,12.4771,16.1384,16.4228,13.6871,14.2195,13.7497,14.9562,15.6786,13.7885,12.7604,12.912,12.4877
002061.SZ,10.7169,8.8525,8.8525,11.2268,10.6413,10.4595,11.3682,10.5937,10.323,10.5044,10.9585,10.2477
601111.SH,16.7336,15.1313,13.2044,,,,,,,,,
002063.SZ,47.5005,42.7199,48.2937,52.0501,43.7864,47.2265,50.2628,46.9413,40.808,39.4265,38.9492,41.0971
002065.SZ,47.8921,71.0579,62.2419,72.1881,57.2307,66.4067,64.6033,60.7282,53.0721,63.8683,64.4279,58.0621
002066.SZ,89.9576,70.5412,74.4219,226.1275,231.0321,258.9108,261.4922,118.1003,117.2711,78.0882,78.3456,75.5139
002064.SZ,64.5476,61.1209,12.4983,12.0761,12.3537,11.7291,13.8227,15.9666,14.864,13.617,16.2521,17.1531
002067.SZ,28.3053,26.4931,17.5489,21.446,21.0227,21.446,23.6329,23.011,21.6459,20.6709,16.6551,16.2387
601699.SH,7.8707,7.1188,6.8487,7.7107,7.5343,7.5614,8.6474,9.2179,8.9252,10.8099,12.0784,11.9498
601588.SH,7.9219,7.0989,6.8159,8.9127,8.8801,9.1739,9.076,17.2452,16.0134,16.8865,17.4494,16.0421
600017.SH,13.3933,12.3852,12.0329,12.975,13.2953,13.2953,15.004,13.1767,12.8496,12.0488,12.8461,12.7575
002073.SZ,,50.3732,45.9585,163.4913,166.4183,162.6551,186.4888,227.5635,207.7533,129.5435,143.6101,153.0969
002074.SZ,56.7598,50.3603,39.5107,,,,,,,,,
002072.SZ,,,,64.1129,62.3052,62.4257,62.1847,31.5035,28.3407,26.2631,24.9249,24.9807
002075.SZ,24.5432,26.8939,37.554,56.4603,56.5859,52.3556,45.2771,52.9195,53.8534,48.2993,45.7631,40.9145
600018.SH,13.3892,11.6898,11.5353,10.9993,10.6572,11.0519,11.8677,12.0654,11.3589,11.3589,12.9194,12.752
601398.SH,6.5813,6.0981,5.8788,5.8549,5.7983,5.6398,5.6171,6.0317,5.983,5.983,6.5566,6.1499
002078.SZ,12.5329,11.2537,10.4118,9.2726,9.4379,10.5704,14.0791,16.2378,16.4006,17.4446,18.5393,18.0967
002079.SZ,86.109,78.2024,70.0163,76.5529,78.8463,104.1531,99.2499,83.4738,75.0001,84.2455,91.7433,91.6472
002080.SZ,18.1647,17.3447,13.8145,15.0076,14.101,18.4911,21.6744,20.2591,20.3201,16.8694,16.5442,21.256
002081.SZ,10.178,9.8083,9.2879,10.3856,10.2052,10.1279,11.5537,12.5465,11.5438,11.7706,12.3223,10.8951
002082.SZ,21.1422,17.0496,34.9361,28.7213,26.5744,31.8692,44.2026,34.1165,40.1419,39.6192,41.6096,41.8233
601666.SH,8.7135,8.1194,9.0239,8.6422,8.5805,7.6957,10.4118,11.5567,10.2338,9.2428,10.4137,10.5201
002083.SZ,12.1943,11.8237,12.2025,17.3225,12.8025,14.7762,14.8866,18.6757,17.2883,20.1498,20.6535,18.5126
002084.SZ,26.2826,20.6983,19.5376,24.2048,41.9171,47.695,58.7097,63.0833,47.0412,41.5139,37.056,32.691
002085.SZ,20.429,20.1472,18.7025,20.8728,21.1011,21.1337,22.5687,25.671,24.6529,27.2494,28.3847,24.8272
002087.SZ,10.3347,11.8581,11.4569,11.5207,10.689,10.997,11.7055,13.2205,12.409,13.0542,13.2873,14.1531
002089.SZ,,,,25.2742,22.7767,29.8438,34.7532,18.8524,18.2586,5.5624,5.4415,4.595
002088.SZ,11.5857,10.6827,9.9565,10.7997,10.3555,10.4373,11.5009,13.1565,13.1692,11.5873,14.0029,12.4633
601872.SH,29.3386,23.5266,29.7105,17.5896,15.3585,15.125,16.2146,10.4009,9.2738,9.3221,8.3584,7.8187
002090.SZ,36.2929,41.1343,37.5949,44.1661,46.142,44.5933,51.6962,163.8327,164.3913,113.3,119.1927,109.684
002091.SZ,11.2423,11.3169,9.5705,10.7155,10.1183,10.6277,11.7344,12.4769,10.9581,12.5386,13.5936,14.669
002092.SZ,16.1641,14.8084,28.6167,59.968,56.7782,57.799,72.0892,,,,,
002093.SZ,82.1097,75.9458,91.7081,104.3487,100.075,105.061,108.0288,101.5626,88.8956,75.3293,76.2627,68.0484
002094.SZ,13.5625,121.6514,126.1459,,,,,,,,,
002095.SZ,165.5048,156.1738,141.3108,153.2217,151.3522,164.1952,167.6904,170.1828,160.6211,193.1064,197.1808,156.7582
601991.SH,45.6095,42.4776,35.5963,29.5116,28.6841,29.0978,32.9592,22.9533,21.1805,20.7139,19.3755,19.539
601333.SH,29.2476,26.2923,22.4307,,,,,,,,,
002096.SZ,86.2986,89.0337,90.2789,142.4292,146.6921,148.9489,177.7858,123.1745,129.5841,127.5412,201.186,99.9759
002097.SZ,13.5357,13.037,12.2005,14.7443,14.0843,13.5182,15.9864,15.2739,16.3888,14.6789,15.9932,14.7345
002098.SZ,,,39.5643,35.5255,37.6515,36.6914,38.063,44.8422,40.8787,36.9277,45.2382,41.0468
002099.SZ,15.0367,13.7346,12.9156,14.3743,16.2252,19.0135,19.6385,24.1946,23.3262,28.3794,32.5851,31.0857
002100.SZ,32.8587,19.7812,21.6884,17.854,16.5498,18.1016,20.1731,13.9533,11.0659,8.1209,7.7725,6.2546
002101.SZ,14.564,15.7048,14.1457,,,,,,,,,
002102.SZ,,,,9.0319,7.7049,7.8762,7.919,8.8011,8.3354,14.0885,14.6394,13.2227
601628.SH,18.5224,16.909,12.7729,16.3483,14.6642,15.5865,20.9022,24.1025,24.5163,27.326,25.1496,22.7657
002103.SZ,,,171.7554,,,,,,,461.2597,445.7407,375.9051
002104.SZ,52.8691,51.8131,52.9566,107.4449,112.1954,118.902,152.8541,110.5712,91.4171,81.2919,83.981,72.0871
002105.SZ,44.4547,52.1184,44.2736,40.4488,43.0361,46.6584,79.6901,45.1609,40.8042,31.1531,31.4341,25.5336
002106.SZ,23.9686,23.8935,21.5708,22.303,23.297,27.2109,31.1662,27.3901,22.6537,23.1271,22.0185,21.8656
002107.SZ,82.0398,40.0212,37.9335,34.2488,40.4592,50.6882,45.764,39.3325,34.574,30.0394,27.1949,25.1318
002108.SZ,33.5082,32.4497,29.3635,29.9138,29.8286,29.5729,31.0117,47.04,38.2559,29.1416,29.081,32.595
601002.SH,24.1237,24.0808,26.0124,59.1708,70.1237,68.2353,71.5086,52.3467,48.063,41.0106,41.2504,40.6908
002109.SZ,21.9226,21.3072,23.9005,31.8735,31.4457,31.3387,35.1892,35.041,32.8767,32.9302,29.7298,28.2138
002110.SZ,4.9942,5.2221,5.3155,5.5433,5.1468,5.0782,5.4289,6.367,6.0006,5.7157,6.2108,5.846
002111.SZ,18.6233,18.5708,16.3673,16.5472,16.4653,16.6759,19.0047,18.2025,17.3001,20.7771,21.4106,19.3329
601166.SH,5.8631,5.4531,5.0179,5.1383,4.9775,4.8786,4.8415,5.3646,5.3546,5.8851,6.9497,6.9002
002112.SZ,23.1625,116.699,131.8952,128.0386,128.8265,160.9346,190.8759,102.03,91.2482,59.7448,54.8849,53.0057
002113.SZ,173.3369,154.2889,130.4788,,,,,,,,,
002116.SZ,15.1255,14.5153,14.3056,81.7779,81.0848,80.7383,86.9756,,,,,
002114.SZ,,88.0582,88.042,,,,,,,,,
002115.SZ,42.4617,38.7771,41.1386,73.2085,70.5566,77.1462,72.4049,85.9919,75.1216,236.058,232.5443,
601003.SH,4.649,4.3872,4.4323,6.0228,5.2519,5.3362,6.0107,6.7722,6.2747,5.6537,6.191,6.3375
601005.SH,15.1855,13.8839,15.0294,17.5063,14.7602,17.0486,17.3919,31.014,30.6005,22.1358,24.3029,22.9097
601318.SH,9.6857,9.5092,8.4631,10.4741,9.9466,10.0437,10.6767,11.6318,11.5772,11.5783,13.3932,12.9395
002117.SZ,23.7737,26.6162,22.2381,25.8772,24.45,26.392,28.4041,34.8653,28.9764,32.2711,30.403,26.2146
002119.SZ,61.512,54.4237,45.7639,58.3835,64.6561,59.7828,51.2718,51.5447,42.655,48.0772,50.1944,45.3867
002118.SZ,,,98.3167,,,,,,,,,
002120.SZ,24.7086,24.642,25.8279,27.2645,30.8222,29.3582,28.7819,29.6523,26.7271,27.5535,29.1268,26.5867
002123.SZ,143.3893,136.799,,,,,,,,,,
002124.SZ,,,111.8575,15.9709,13.1607,16.3396,23.791,13.1265,10.6599,6.5757,6.9185,6.5847
002125.SZ,49.7164,63.642,53.1515,80.6058,88.7858,103.8885,92.6759,143.3463,134.2786,354.0912,385.6969,425.8737
601007.SH,33.0079,31.3012,31.1073,57.228,52.0255,53.2741,59.1009,65.6157,63.1066,60.9777,80.9221,77.7719
002126.SZ,20.4923,27.3373,20.2371,24.2498,28.9738,32.1232,36.8801,34.8526,30.936,27.2818,26.91,31.9992
002127.SZ,24.2393,23.0817,23.6129,27.6546,38.1618,42.8586,39.6599,36.3736,33.8807,34.1403,30.7152,25.3275
002128.SZ,6.1709,5.8508,5.7028,5.6977,5.8499,5.6179,8.4885,7.9412,7.4425,7.2507,8.6738,8.1944
002129.SZ,48.077,53.9026,44.0429,49.3844,50.4774,64.5995,69.978,66.3979,67.8686,67.5415,64.5609,73.7921
002130.SZ,84.349,29.6151,26.0165,26.6499,26.0222,26.0793,35.7235,29.3147,25.2696,21.2939,22.3505,22.4724
601008.SH,1109.106,985.872,550.5027,523.423,558.424,534.5597,587.0611,561.241,523.9286,351.651,446.3681,465.9648
601998.SH,5.9315,5.534,5.2792,5.1665,4.9877,5.1168,5.1268,5.6452,5.4614,5.5934,5.8038,5.6598
002133.SZ,10.7867,9.3275,9.613,9.5793,9.5483,9.4243,10.0134,22.9055,21.5046,14.3936,15.1438,14.3936
002132.SZ,,,37.7368,43.9662,44.4658,42.8004,44.9654,45.357,63.2397,76.8437,74.2964,70.6877
002131.SZ,,,78.9435,98.7219,106.5157,100.2807,92.4868,60.2853,56.9361,62.4524,7.5085,6.6329
601600.SH,308.2329,285.8159,57.6091,111.068,109.1194,107.5606,128.2154,297.2752,273.7566,98.8163,142.1991,124.9837
000338.SZ,11.05,11.7034,10.4217,12.394,12.0611,12.69,14.9746,13.8367,14.0981,14.1261,14.4677,13.6876
601328.SH,5.3119,5.0497,4.9585,4.9533,4.8864,4.9055,4.5517,4.9448,4.7462,4.7357,5.0078,4.7633
002134.SZ,,183.7351,165.4974,157.5828,187.2833,212.4435,147.9619,144.5041,124.9104,86.6358,89.8224,84.1462
