code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
002588.SZ,0.4975,0.489,0.4367,0.4049,0.4484,0.4739,0.3759,0.3311,0.3876,0.3802,0.3656,0.3484
002589.SZ,0.743,0.8222,0.9541,1.0042,0.9721,,,,,,,
601567.SH,3.7175,3.7453,4.065,3.9318,4.3605,3.0657,2.8966,2.6616,3.1866,2.983,2.9745,3.1579
300229.SZ,0.3506,0.3238,0.2983,0.2918,0.305,0.2904,0.2886,0.2924,0.3127,0.3313,0.3214,0.3987
300230.SZ,4.6226,3.8281,5.2575,5.1042,5.9809,5.7604,5.3533,4.3478,9.2764,8.2781,8.6207,9.9602
300231.SZ,1.6652,1.6729,1.8536,3.3608,3.3845,1.5953,1.5535,1.2899,1.4271,1.2546,1.4504,1.5882
300233.SZ,1.2553,1.2566,1.1431,,0.8304,0.643,0.5348,0.546,0.7583,0.8598,0.9234,1.0422
300232.SZ,0.4458,0.4586,0.5205,0.5188,0.5696,0.1845,0.1662,0.1573,0.155,0.1531,0.1428,0.1587
300234.SZ,,,,0.4981,0.6204,0.5827,0.4316,0.4465,0.4743,0.4736,0.4344,0.5371
002593.SZ,1.3774,1.4286,1.4368,1.4327,,1.449,1.3218,1.3148,1.3433,1.3325,1.2394,1.3011
002595.SZ,1.7934,1.7951,2.2176,2.073,2.0559,,,,,1.5281,1.5451,1.2648
300235.SZ,,,,,0.3394,0.3027,0.2931,0.258,0.3262,0.3207,0.3487,0.3922
300236.SZ,0.0855,0.0555,0.0666,0.0662,0.0572,0.0555,0.0534,0.2609,0.3012,0.3211,0.2305,0.2435
601058.SH,1.0643,1.1018,1.3304,1.1166,1.3339,2.8329,2.5253,2.3048,2.2378,2.0249,1.7457,1.6561
002594.SZ,0.341,0.3121,0.3402,0.3402,0.3553,0.2841,,0.0706,0.0516,0.0375,0.0349,0.0309
300240.SZ,0.3263,0.3604,0.361,0.3891,0.7407,0.3781,0.3521,0.3096,0.2849,0.2963,0.318,0.3521
300239.SZ,0.5663,0.5862,0.6125,0.6668,0.7043,0.6711,0.5425,0.5077,0.4968,0.4526,0.5129,0.5043
002596.SZ,0.1205,0.1246,0.094,0.116,0.0969,,,,,,,
002597.SZ,1.5094,1.5894,1.7786,2.6595,2.4073,2.3434,1.7967,1.558,1.6981,1.8851,1.7026,1.6537
002598.SZ,3.1696,3.0817,3.3956,3.3113,,3.1353,2.7778,2.6912,2.9734,2.9781,2.8443,3.0645
300243.SZ,1.2505,1.3671,1.3468,1.3006,,1.0989,0.7968,0.7868,0.8562,0.7752,0.6849,0.6729
