code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
600379.SH,2.0198,1.9144,1.9746,2.0996,2.0959,2.2059,2.2315,2.296,2.1225,2.0531,2.2139,2.3442
600317.SH,3.1238,2.814,2.9322,2.9374,2.9237,,3.6649,3.4141,3.4273,3.2885,3.3407,3.3537
600583.SH,2.5504,2.0609,1.4697,1.4381,1.3306,1.3219,1.3974,1.3074,1.1985,1.0101,1.1152,1.0722
600585.SH,1.5763,1.8016,1.8595,2.122,2.0102,1.8725,2.1737,2.0251,1.8372,1.5824,1.7586,1.6067
600509.SH,0.8017,0.7804,0.7211,0.7253,0.8357,0.7589,0.855,0.8766,0.8836,0.912,0.9426,1.1948
600373.SH,1.7402,1.722,1.458,1.4925,1.4092,1.4639,1.5745,1.7442,1.5409,1.5846,1.6107,1.3819
600350.SH,2.7197,2.5142,2.5082,4.2751,3.9828,4.487,4.9328,3.7871,3.3322,3.0321,3.6094,3.1024
600533.SH,1.2339,1.1992,1.1992,1.3023,1.2687,1.3657,1.3433,1.7913,1.6266,1.5368,1.0746,1.0387
600598.SH,5.5669,6.9928,9.856,9.5811,8.4158,9.0632,10.7914,11.29,10.3604,9.6585,9.5086,10.6854
600036.SH,3.4415,3.1975,3.0185,3.1883,3.0729,3.0638,3.1619,3.3977,3.2454,3.5889,3.9333,3.9111
600456.SH,2.6753,2.6849,2.3632,2.6739,2.571,2.8997,3.5342,3.1494,3.1837,3.3703,4.0707,5.3573
600428.SH,0.9385,0.833,0.8383,0.8052,0.7663,0.7974,0.8814,0.9026,0.8576,0.8978,1.2157,1.2686
600486.SH,2.4969,2.707,2.6087,2.2681,2.6656,2.4849,2.8885,2.4189,2.3181,3.0067,3.7462,4.2629
600415.SH,5.2257,4.6109,4.4238,4.4784,4.6962,6.6292,10.0594,7.5021,6.9903,7.0508,7.2632,7.3163
600578.SH,1.1457,1.0672,1.0751,0.9897,0.9966,1.0034,1.089,1.1103,1.0481,1.0253,1.067,1.0496
600582.SH,0.6714,0.6628,0.6498,0.6775,0.6463,0.653,0.6886,0.7208,0.6701,0.6459,0.6971,0.6566
600536.SH,6.8525,8.078,6.8392,7.5537,7.1628,7.234,8.6625,9.4952,7.9764,6.7352,7.3217,7.9309
600026.SH,1.6434,1.549,2.5735,2.8643,2.1921,2.182,2.4218,2.196,2.0402,1.8838,2.027,1.9125
600505.SH,3.478,3.4081,3.4547,3.9491,3.5394,3.7774,3.5199,3.4421,3.0653,2.928,2.7371,2.68
600529.SH,6.7939,7.2811,7.0828,7.3657,8.9832,11.3439,13.9061,9.7336,8.6795,8.5084,8.2569,9.48
600496.SH,0.5542,0.6207,0.6941,0.6075,0.5883,0.5848,0.8798,1.1765,1.0183,0.9867,0.9867,0.8436
600580.SH,1.2687,1.4138,1.1096,1.1418,1.2419,1.1961,1.2921,1.3567,1.2868,1.2942,1.3928,1.6448
600355.SH,4.7072,5.1809,4.5888,6.3084,6.1434,5.9579,6.8444,7.3654,6.6201,6.1598,7.1669,6.3324
600510.SH,0.6877,0.795,0.8097,1.0954,0.957,0.9321,0.9558,1.122,1.0128,0.9471,0.987,0.8462
600426.SH,2.098,1.9448,1.7997,1.9881,2.1148,2.1136,2.7651,3.3357,3.0404,3.643,4.5232,4.8067
600327.SH,0.4192,0.3733,0.3647,0.3943,0.4068,0.41,0.4372,0.5068,0.4196,0.3993,0.4412,0.4577
600595.SH,0.7396,0.659,0.6275,0.5926,0.5628,0.5553,0.641,0.718,0.8745,0.7447,0.8985,0.8111
600397.SH,0.4332,0.401,0.3885,0.4151,0.3888,0.4114,0.4677,0.4329,0.4782,0.3812,0.4546,0.4948
600590.SH,0.7969,0.7843,0.7604,1.0245,0.9989,0.9861,1.1471,1.1949,1.0923,1.0455,1.0789,1.0512
600503.SH,17.4857,16.5283,15.3189,1.8749,2.2638,2.5598,2.4612,2.3779,2.0849,2.039,2.0532,1.8684
600593.SH,16.1577,15.318,15.6523,18.8179,19.048,18.9577,18.4661,24.4502,26.1487,60.1929,58.4552,25.9955
600561.SH,0.5214,0.4577,0.4822,0.5115,0.5026,0.516,0.6765,0.7628,0.7051,0.811,0.7466,0.6746
600416.SH,1.122,1.7933,,2.0568,2.4477,2.9593,3.6935,4.4667,3.9323,3.3841,3.1601,4.1593
600526.SH,1.1703,1.0729,1.313,0.8837,0.8461,0.841,,0.9528,0.8146,0.7816,0.8376,0.7454
600565.SH,0.5156,0.4766,0.4538,0.3504,0.3346,0.3383,0.3553,0.3744,0.3603,0.3587,0.3873,0.3548
600531.SH,0.255,0.2395,0.2274,0.2459,0.2517,0.2498,0.4632,0.3533,0.2981,0.2901,0.3638,0.3601
600592.SH,5.9782,5.4667,6.128,5.1195,5.368,5.3857,4.6493,5.093,4.6806,4.2462,4.0463,3.8427
600515.SH,1.5921,1.6114,1.7401,1.7034,2.2533,1.986,2.6353,2.9258,3.4773,3.0341,3.1189,3.0118
600579.SH,0.2848,0.3742,0.3201,0.4833,0.4545,0.441,0.4951,0.448,0.3984,0.377,0.3836,0.3665
600586.SH,0.7595,0.853,0.754,0.7656,0.76,1.051,1.0199,1.0787,0.9324,1.0643,1.3474,1.8754
600581.SH,0.2434,0.2365,0.2396,0.2323,0.2338,0.2354,0.2925,0.2813,0.2372,0.2352,0.2699,0.2824
600535.SH,1.243,1.2129,1.097,1.153,1.2148,1.3349,1.4271,1.499,1.4026,1.6243,1.5417,1.3727
600597.SH,0.6248,0.5803,0.6291,0.6782,0.8686,0.818,1.0382,1.1286,0.8673,0.7859,0.7494,0.8244
600516.SH,3.7608,3.3753,3.0133,3.9333,4.4279,4.1415,4.5108,5.7595,5.2203,5.3658,6.7703,7.2414
600551.SH,0.6215,0.5948,0.5838,0.6372,0.671,0.7248,0.8299,0.77,0.6615,0.6334,0.6502,0.5893
600577.SH,0.4403,0.4801,0.4356,0.5222,0.4634,0.4668,0.591,0.6293,0.5504,0.512,0.5427,0.5023
600371.SH,9.3723,9.6781,11.6534,11.3216,12.7956,11.5646,19.6137,17.5622,15.9519,15.1422,15.831,18.2992
600557.SH,2.0678,1.8205,1.7965,1.848,1.8232,1.9169,2.0835,1.9956,1.8817,2.1521,2.1043,1.7371
600560.SH,3.2229,3.1016,3.53,3.6939,3.3748,3.3748,4.1243,4.0015,3.553,2.7331,2.9346,2.6396
000875.SZ,0.9721,0.9772,0.8606,0.9525,0.8905,0.9228,1.079,1.0164,0.9448,0.9106,0.9577,1.0048
600351.SH,1.3511,1.3742,1.2692,1.3456,1.3212,1.3781,1.5513,1.898,1.6307,1.5747,1.5867,1.4937
600587.SH,0.7314,0.7583,0.7527,0.7524,0.6996,0.7467,0.9525,0.842,0.7708,0.7755,0.6836,0.6433
600050.SH,0.6082,0.5898,0.5575,0.5562,0.5285,0.5157,0.5413,0.5441,0.5083,0.4952,0.5087,0.463
600499.SH,1.1602,1.2679,1.0424,1.0817,1.0632,1.3047,1.4599,1.3408,1.2293,1.1775,1.5087,1.9843
600522.SH,0.642,0.6544,0.7469,0.9295,0.9653,0.9528,0.9712,0.8432,0.782,0.8231,0.8298,0.8321
600559.SH,2.434,2.1382,1.9282,2.1363,2.4151,3.1946,3.1823,3.3786,2.797,3.0803,4.6471,7.6233
600532.SH,0.3236,0.2976,0.3207,0.4091,0.5058,1.015,0.8977,0.977,0.9799,1.1035,1.5315,1.5429
