,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
10,688191.SH,20210318,20210318,20200930,1,1,3,0.44,0.44,274361193.69,274361193.69,,,,,,,,,,,,,,,,1334129.92,,,233005509.36,158666010.12,,,2040193.48,32330296.52,16448260.37,306043.54,-1113833.96,,,,,,,,,,,59233314.51,286441.08,1607745.15,,57912010.44,7758951.45,50153058.99,50153058.99,,,50153058.99,50153058.99,,,,,,,22557005.75,456271.01,982788.28,,,,,,,,,,,,,,,1
11,300958.SZ,20210308,20210308,20200930,1,1,3,0.47,0.47,577410250.48,577410250.48,,,,,,,,,,,,,,,,8780192.55,8665098.21,,536551623.27,432066480.21,,,1638657.72,18629986.35,38269707.26,544128.98,,,,,,,,,,,,56840992.41,1025.81,93079.04,,56748939.18,6274244.87,50474694.31,50185329.56,289364.75,,50474694.31,50185329.56,289364.75,,,,,,17986217.32,3381040.84,2967552.16,,,,,,,,,,,,,,,0
12,003042.SZ,20210317,20210317,20200930,1,1,3,0.99,,1169547724.4,1169547724.4,,,,,,,,,,,,,,,,,,,1074385367.68,873192280.09,,,4395760.58,28420016.39,85314278.76,23877224.01,-9658939.15,,,,,,,,,,,96090335.69,231697.66,769905.03,,95552128.32,14407830.73,81144297.59,81144297.59,,66748.36,81211045.95,81211045.95,,,,,,,47165463.43,17844369.23,539536.62,,,,,,,,,,,,,,,0
13,688659.SH,20210312,20210312,20200930,1,1,3,0.19,,274875285.54,274875285.54,,,,,,,,,,,,,,,,-10360.02,,,255463166.26,153338203.66,,,1738072.66,14877779.83,20990426.95,2895069.31,-45732622.25,,,,,,,,,,,22949711.34,5155567.86,3168348.11,,24936931.09,2690333.22,22246597.87,22246597.87,,,22246597.87,22246597.87,,,,,,,15445736.73,1889424.2,185721.02,,,,,,,,,,,,,,,1
14,688718.SH,20210322,20210322,20200930,1,1,3,0.22,0.22,218216547.24,218216547.24,,,,,,,,,,,,,,,183294.37,501401.38,-534238.17,,189056513.17,138832694.26,,,1835404.19,3556298.42,25236401.29,2083580.5,,,,,,,,,,,,32836817.18,718.63,54862.39,,32782673.42,3613285.42,29169388.0,29169388.0,,-370205.41,28799182.59,28799182.59,,,,,,,15321251.39,1277851.9,805353.73,,,,,,,,,,,,,,,1
15,301071.SZ,20210311,20210311,20200930,1,1,3,0.96,0.96,166312159.23,166312159.23,,,,,,,,,,,,,,,,132716.41,-15040.28,,120746348.82,99259732.34,,,633144.98,2956101.89,6155932.88,1706063.57,-2197477.18,,,,,,,,,,,50539592.06,2001.57,223000.0,,50318593.63,6928811.91,43389781.72,43389781.72,,1289.01,43391070.73,43391070.73,,,,,,,7136320.56,1504252.29,164034.28,,,,,,,,,,,,,,,1
16,688606.SH,20210305,20210305,20200930,1,1,3,9.35,,610193160.03,610193160.03,,,,,,,,,,,,,,,,3123110.96,,,175820584.48,93687237.48,,,6217929.78,18139600.03,17903091.01,4335177.27,39817.49,,,,,,,,,,,440600947.86,11936.58,1040016.63,,439572867.81,61922180.32,377650687.49,377650687.49,,82794.26,377733481.75,377733481.75,,,,,,,34527944.96,,762146.99,,,,,,,,,,,,,,,1
17,688087.SH,20210309,20210309,20200930,1,1,3,1.78,1.78,1168712598.64,1168712598.64,,,,,,,,,,,,,,,,444861.9,,,979309084.96,731047596.99,,,6030790.05,100673268.83,64573526.84,21894074.86,-1763118.7,,,,,,,,,,,198287138.55,351184.25,1716576.63,,196921746.17,20053400.96,176868345.21,176868345.21,,-5588226.23,171280118.98,171280118.98,,,,,,,50000236.62,6176142.58,463378.09,,,,,,,,,,,,,,,1
18,688690.SH,20210309,20210309,20200930,1,1,3,0.1109,0.1109,127812729.29,127812729.29,,,,,,,,,,,,,,,,380955.33,380955.33,,89506092.26,22916161.02,,,2391427.2,20569100.74,19250283.69,-1273835.44,-1942966.0,,,,,,,,,,,44877262.89,149479.68,35508.99,,44991233.58,6158591.87,38832641.71,39512922.1,-680280.39,-57936.8,38774704.91,39454985.3,-680280.39,,,,,,23548262.86,109488.09,1974071.8,,,,,,,,,,,,,,,1
19,300975.SZ,20210329,20210329,20200930,1,1,3,0.3104,0.3104,2171326491.94,2171326491.94,,,,,,,,,,,,,,,396295.89,272754.98,,,2031992261.72,1835538871.69,,,4998296.63,100429996.71,32522740.6,8732349.21,-23785019.33,,,,,,,,,,,140520993.4,14709863.45,139864.76,,155090992.09,40494427.01,114596565.08,114705558.89,-108993.81,-698853.09,113897711.99,114006705.8,-108993.81,,,,,,3479307.1,6736906.73,434256.91,,,,,,,,,,,,,,,1
20,688639.SH,20210331,20210331,20200930,1,1,3,1.05,1.05,360559544.17,360559544.17,,,,,,,,,,,,,,,,,,,274020853.63,200338572.95,,,4777350.92,12440220.8,25148006.58,3979356.99,-2644869.14,,,,,,,,,,,97565067.97,3568682.53,1056020.39,,100077730.11,14907462.95,85170267.16,85170267.16,,,85170267.16,85170267.16,,,,,,,24765889.86,2287812.78,297766.21,,,,,,,,,,,,,,,0
21,688682.SH,20210331,20210331,20200930,1,1,3,0.55,0.55,126706651.05,126706651.05,,,,,,,,,,,,,,,562569.86,811722.01,,,113030513.3,83678213.26,,,145619.07,4264946.11,12991522.83,-455235.69,,,,,,,,,,,,16837655.11,17906.29,311092.83,,16544468.57,1295766.05,15248702.52,15248702.52,,,15248702.52,15248702.52,,,,,,,9761928.72,,698982.41,,,,,,,,,,,,,,,0
22,301047.SZ,20210107,20210107,20200930,1,1,3,14.72,14.72,1068535711.45,1068535711.45,,,,,,,,,,,,,,,1701661.92,1363345.33,,,193779368.66,36799340.48,,,4208951.58,70811879.41,31892003.29,13598613.33,-3107317.16,,,,,,,,,,,878953519.06,1397620.0,8000.0,,880343139.06,129748918.38,750594220.68,750594220.68,,1901398.09,752495618.77,752495618.77,,,,,,,17454027.09,,30318.0,,,,,,,,,,,,,,,1
23,688316.SH,20210223,20210223,20200930,1,1,3,-3.67,-3.67,242684830.76,242684830.76,,,,,,,,,,,,,,,304846.55,542503.84,-28076.62,,382386380.59,228733885.29,,,451076.84,43412101.12,50609987.13,1019801.95,17203.19,,,,,,,,,,,-133159509.93,2437028.18,554387.52,,-131276869.27,,-131276869.27,-130188045.13,-1088824.14,-330564.69,-131607433.96,-130518609.82,-1088824.14,,,,,,54035856.23,1195640.03,299963.12,,,,,,,,,,,,,,,0
24,300946.SZ,20210126,20210126,20200930,1,1,3,1.52,1.52,276522902.1,276522902.1,,,,,,,,,,,,,,,,-66897.89,,,222410879.78,194984905.14,,,1846130.14,3997885.61,10226117.56,1778043.69,-1174130.79,,,,,,,,,,,64084359.04,25173080.53,705940.42,,88551499.15,12554938.99,75996560.16,75996560.16,,,75996560.16,75996560.16,,,,,,,7987681.28,1374766.96,289259.97,,,,,,,,,,,,,,,0
25,688092.SH,20210119,20210119,20200930,1,1,3,,,150065624.51,150065624.51,,,,,,,,,,,,,,,296166.67,648240.03,,,125550344.33,76571376.56,,,1743127.63,21710729.67,6517933.0,1556774.22,-1790258.56,,,,,,,,,,,32355506.24,1674698.51,31388.95,,33998815.8,3195049.23,30803766.57,30803766.57,,,30803766.57,30803766.57,,,,,,,14048659.54,386697.35,567551.88,,,,,,,,,,,,,,,0
26,301073.SZ,20210117,20210117,20200930,1,1,3,0.3,0.3,168004846.59,168004846.59,,,,,,,,,,,,,,,314398.47,605649.64,,,153033238.05,132426459.08,,,564718.23,6993445.39,11933542.91,766422.69,,,,,,,,,,,,16682288.2,14808911.65,11847443.72,,19643756.13,4023953.67,15619802.46,18211796.45,-2591993.99,,15619802.46,18211796.45,-2591993.99,,,,,,,413174.43,111016.07,,,,,,,,,,,,,,,1
27,300985.SZ,20210129,20210129,20200930,1,1,3,1.75,1.75,1009615086.74,1009615086.74,,,,,,,,,,,,,,,,-3253741.16,,,790449334.85,631033041.09,,,6837226.89,56988052.17,25963820.51,17870967.19,-22959823.75,,,,,,,,,,,216653314.41,714340.35,791606.57,,216576048.19,36641380.8,179934667.39,174663657.02,5271010.37,,179934667.39,174663657.02,5271010.37,,,,,,18163827.65,12747695.32,66070.7,,,,,,,,,,,,,,,1
28,688621.SH,20210129,20210129,20200930,1,1,3,0.85,0.85,234530370.0,234530370.0,,,,,,,,,,,,,,,,2136.99,,,176048478.83,116523669.0,,,386703.59,4984483.4,31551227.87,830809.45,,,,,,,,,,,,59304180.1,,484622.28,,58819557.82,6934384.48,51885173.34,50975084.04,910089.3,,51885173.34,50975084.04,910089.3,,,,,,19935145.21,847277.76,166740.05,,,,,,,,,,,,,,,1
29,688083.SH,20210219,20210219,20200930,1,1,3,1.72,,276397142.34,276397142.34,,,,,,,,,,,,,,,,8166855.23,,,226751845.87,2972339.68,,,3894066.96,97113422.2,24204870.71,820957.7,,,,,,,,,,,,88633506.03,278321.78,1034773.77,,87877054.04,7880003.29,79997050.75,79997050.75,,77680.06,80074730.81,80074730.81,,,,,,,94312630.65,151717.25,376672.42,,,,,,,,,,,,,,,0
30,301063.SZ,20210220,20210220,20200930,1,1,3,1.25,1.25,755976168.91,755976168.91,,,,,,,,,,,,,,,617202.18,2843623.82,,,672990226.25,603215858.9,,,2639919.37,3761183.92,21451302.72,11160248.18,1208501.34,,,,,,,,,,,91577454.45,841077.26,2653740.89,,89764790.82,10618024.26,79146766.56,79146766.56,,-59.66,79146706.9,79146706.9,,,,,,,25896615.5,7767933.0,540806.1,,,,,,,,,,,,,,,1
31,688350.SH,20210111,20210111,20200930,1,1,3,0.97,0.97,819262650.37,819262650.37,,,,,,,,,,,,,,,,521398.63,,,724574223.83,589415970.23,,,5463521.36,49610729.22,38763596.82,3125514.85,-3670565.72,,,,,,,,,,,103520070.9,141890.95,1126938.86,,102535022.99,13691032.49,88843990.5,88857556.73,-13566.23,,88843990.5,88857556.73,-13566.23,,,,,,33069117.15,2226667.77,656697.42,,,,,,,,,,,,,,,0
32,003036.SZ,20210111,20210111,20200930,1,1,3,0.26,0.26,450591874.75,450591874.75,,,,,,,,,,,,,,,569700.0,35318.95,-61552.69,,406526777.29,358887862.81,,,5115694.49,15673497.55,18459931.59,-3444306.98,-1595700.27,,,,,,,,,,,49526877.88,450643.44,86720.04,,49890801.28,7305772.97,42585028.31,42014057.19,570971.12,1092332.18,43677360.49,43106389.37,570971.12,,,,,,12795908.35,,3996078.99,,,,,,,,,,,,,,,0
33,688628.SH,20210112,20210112,20200930,1,1,3,1.7,1.7,707870466.68,707870466.68,,,,,,,,,,,,,,,,,,,545459502.12,428243347.48,,,4818195.26,41666133.49,32060036.56,2382976.66,-2279048.99,,,,,,,,,,,166348619.68,9964.04,1299706.87,,165058876.85,24741616.1,140317260.75,140318310.21,-1049.46,-602486.04,139714774.71,139715824.17,-1049.46,,,,,,32173616.98,,,,,,,,,,,,,,,,,0
34,605368.SH,20210112,20210112,20200930,1,1,3,0.6,,2482448106.8,2482448106.8,,,,,,,,,,,,,,,,5104974.05,2423626.44,,2172926530.06,2044607951.7,,,5401157.83,16075031.9,73193688.69,30755757.55,,,,,,,,,,,,324451875.17,985372.81,4674740.27,,320762507.71,84197834.32,236564673.39,236591279.08,-26605.69,-148976.91,236415696.48,236442302.17,-26605.69,,,,,,,31740061.18,1994679.04,,,,,,,,,,,,,,,0
35,605055.SH,20210112,20210112,20200930,1,1,3,0.16,0.16,533426771.42,533426771.42,,,,,,,,,,,,,,,376236.14,890980.47,,,471404445.76,406724591.32,,,1566922.05,14567885.37,18249055.25,6878698.73,-817940.13,,,,,,,,,,,69350975.97,146479.89,4841852.42,,64655603.44,7526821.06,57128782.38,57128782.38,,,57128782.38,57128782.38,,,,,,,21887305.79,7359534.06,573428.96,,,,,,,,,,,,,,,0
36,605303.SH,20210112,20210112,20200930,1,1,3,0.61,0.61,975993188.74,975993188.74,,,,,,,,,,,,,,,,1842335.21,,,894317035.04,769275243.29,,,2788387.49,7520145.56,44047870.0,12077141.49,,,,,,,,,,,,85382090.81,984020.09,58106.15,,86308004.75,11488905.26,74819099.49,74173672.27,645427.22,,74819099.49,74173672.27,645427.22,,,,,,26942058.5,16723.3805,1252631.65,,,,,,,,,,,,,,,1
37,688607.SH,20210113,20210113,20200930,1,1,3,0.7,0.7,228879089.29,228879089.29,,,,,,,,,,,,,,,621849.18,3345136.62,-607039.68,,181459013.11,130172514.41,,,1217457.01,12890536.83,20149735.88,2547661.16,50811.08,,,,,,,,,,,55940185.68,583680.14,50013.73,,56473852.09,10544140.29,45929711.8,45946795.57,-17083.77,14412.74,45944124.54,45961208.31,-17083.77,,,,,,17320823.11,352736.14,172854.02,,,,,,,,,,,,,,,0
38,688303.SH,20210126,20210126,20200930,1,1,3,0.34,,2996371052.22,2996371052.22,,,,,,,,,,,,,,,,,,,2414114647.93,2161228743.15,,,9912583.72,2650669.59,61905655.45,127215773.77,-13496555.5,,,,,,,,,,,587929020.1,855558.12,8087148.97,,580697429.25,83663397.45,497034031.8,497165249.79,-131217.99,,497034031.8,497165249.79,-131217.99,,,,,,37704666.75,132083802.6,5000471.92,,,,,,,,,,,,,,,1
39,688597.SH,20210112,20210112,20200930,1,1,3,0.25,0.25,267360420.32,267360420.32,,,,,,,,,,,,,,,,,,,236199289.13,175620252.32,,,641199.24,23332442.92,18887656.01,-3702555.66,-552311.12,,,,,,,,,,,35029345.98,1838044.6,119383.73,,36748006.85,3928828.73,32819178.12,32819178.12,,,32819178.12,32819178.12,,,,,,,22148206.32,663031.25,4621906.58,,,,,,,,,,,,,,,1
40,003037.SZ,20210118,20210118,20200930,1,1,3,0.55,0.55,4887514007.14,4887514007.14,,,,,,,,,,,,,,,-894976.68,1679932.28,952847.3,,4586924412.58,3833655327.7,,,24271311.93,510693885.16,174773177.66,18948508.66,-1398912.69,,,,,,,,,,,309009581.35,2858788.04,7143540.77,,304724828.62,64883075.25,239841753.37,240360748.82,-518995.45,-424883.92,239416869.45,239935864.9,-518995.45,,,,,,40063393.87,20438396.17,3356868.88,,,,,,,,,,,,,,,0
41,605081.SH,20210126,20210126,20200930,1,1,3,1.6,1.6,381039457.74,381039457.74,,,,,,,,,,,,,,,,-186552.07,,,274801185.77,167412806.53,,,4139191.1,26282999.82,43056669.41,-2298190.35,,,,,,,,,,,,106849303.5,2599498.88,58779.65,,109390022.73,15924163.16,93465859.57,93465859.57,,,93465859.57,93465859.57,,,,,,,16473571.66,,1599323.8,,,,,,,,,,,,,,,0
42,605208.SH,20210209,20210209,20200930,1,1,3,0.92,0.92,1859690971.21,1859690971.21,,,,,,,,,,,,,,,,34356551.5,,,1735767923.55,1585174067.51,,,5199082.4,38445212.26,54810211.06,24947490.78,-6501458.46,,,,,,,,,,,170015713.9,151534.97,4582593.41,,165584655.46,35985502.14,129599153.32,129599153.32,,,129599153.32,129599153.32,,,,,,,25723581.57,24854669.49,175634.59,,,,,,,,,,,,,,,0
43,688669.SH,20210105,20210105,20200930,1,1,3,1.9305,1.9305,1333456793.65,1333456793.65,,,,,,,,,,,,,,,,,,,1136843685.67,977663249.52,,,3662589.31,45434510.37,43086237.88,23693522.63,-792736.71,,,,,,,,,,,200230006.18,10254.14,4173944.79,,196066315.53,37063941.76,159002373.77,135137463.56,23864910.21,-387665.4,158614708.37,134749798.16,23864910.21,,,,,,40286362.59,15448728.96,184852.72,,,,,,,,,,,,,,,0
44,688680.SH,20210105,20210105,20200930,1,1,3,1.84,,906857007.08,906857007.08,,,,,,,,,,,,,,,,7551679.13,9495536.78,,781627202.15,717867232.92,,,1496882.88,5639128.74,12194933.57,9165648.69,-315949.9,,,,,,,,,,,133959599.06,275064.8,71796.82,,134162867.04,18031596.68,116131270.36,116131270.36,,,116131270.36,116131270.36,,,,,,,36557402.99,3895575.71,269435.39,,,,,,,,,,,,,,,0
45,300939.SZ,20210114,20210114,20200930,1,1,3,1.03,1.03,599846188.96,599846188.96,,,,,,,,,,,,,,,467973.77,2181727.32,,,545397229.15,450858327.87,,,4088075.75,18572461.49,34723461.47,4107422.74,-3718582.34,,,,,,,,,,,68513585.73,24983.31,138510.82,,68400058.22,6842333.82,61557724.4,61557724.4,,,61557724.4,61557724.4,,,,,,,29703290.44,520875.0,293395.0,,,,,,,,,,,,,,,0
46,688687.SH,20210119,20210119,20200930,1,1,3,0.43,0.43,535247100.48,535247100.48,,,,,,,,,,,,,,,,-58110.73,,,477595784.16,62307604.69,,,6392248.03,311959236.98,63289643.35,-1949464.21,-1566906.42,,,,,,,,,,,61953780.63,224071.5,722369.01,,61455483.12,11034849.39,50420633.73,55150551.08,-4729917.35,,50420633.73,55150551.08,-4729917.35,,,,,,37458131.58,,1956003.83,,,,,,,,,,,,,,,0
47,600916.SH,20210119,20210119,20200930,1,1,3,0.22,0.22,23327333488.76,23327333488.76,,,,,,,,,,,,,,,62873497.0,-417441324.08,-287959.14,,22581078378.96,22058860059.48,,,32987978.03,247806702.4,78683260.55,67416460.85,-75851312.5,,,,,,,,,,,391747714.74,39975778.75,131095.68,,431592397.81,100476510.84,331115886.97,329385751.32,1730135.65,,331115886.97,329385751.32,1730135.65,,,,,,4251984.26,80976539.28,15332557.09,,,,,,,,,,,,,,,0
48,301028.SZ,20210225,20210225,20200930,1,1,3,0.34,0.34,548742184.18,548742184.18,,,,,,,,,,,,,,,,3491516.79,,,453365211.51,388834587.3,,,3694560.81,9731615.59,23247507.88,-128461.18,-2776575.58,,,,,,,,,,,110404988.22,590577.97,1301715.91,,109693850.28,14037712.87,95656137.41,95656137.41,,,95656137.41,95656137.41,,,,,,,23745189.18,296887.5,375188.82,,,,,,,,,,,,,,,1
49,688689.SH,20210105,20210105,20200930,1,1,3,0.52,0.52,430311532.61,430311532.61,,,,,,,,,,,,,,,,2553625.64,,,376549312.92,305979106.59,,,3440729.42,14252643.52,20201986.21,2035422.15,-4361809.04,,,,,,,,,,,58495647.44,303067.18,17421.99,,58781292.63,9177822.25,49603470.38,49603470.38,,,49603470.38,49603470.38,,,,,,,24701898.62,,312569.09,,,,,,,,,,,,,,,0
50,300938.SZ,20210114,20210114,20200930,1,1,3,0.9272,0.9272,202193065.9,202193065.9,,,,,,,,,,,,,,,,,,,155244506.15,81564324.59,,,568526.09,35465768.72,22684654.58,-454992.53,,,,,,,,,,,,53025292.87,997.44,815457.41,,52210832.9,6938699.85,45272133.05,45272133.05,,,45272133.05,45272133.05,,,,,,,13107002.34,336594.46,621298.53,,,,,,,,,,,,,,,0
51,688619.SH,20210127,20210127,20200930,1,1,3,0.3,0.3,318100771.75,318100771.75,,,,,,,,,,,,,,,,-2489766.8,-2548369.81,,285389983.09,213955892.11,,,916170.46,18288309.66,21793533.54,1223381.6,,,,,,,,,,,,44520608.82,7485.9,415705.26,,44112389.46,3286644.9,40825744.56,42162575.55,-1336830.99,,40825744.56,42162575.55,-1336830.99,,,,,,22757193.7,5414933.23,720749.63,,,,,,,,,,,,,,,0
52,605133.SH,20210126,20210126,20200930,1,1,3,0.8,0.8,660056539.69,660056539.69,,,,,,,,,,,,,,,,-567576.62,-607103.33,,563385590.35,434244296.88,,,5523140.9,17301113.02,61807911.97,17297699.56,-1194355.51,,,,,,,,,,,112032902.22,727119.42,94095.66,,112665925.98,16194995.6,96470930.38,96470930.38,,-37752934.38,58717996.0,58717996.0,,,,,,,27926509.37,16156556.28,863687.19,,,,,,,,,,,,,,,0
53,688456.SH,20210226,20210226,20200930,1,1,3,0.59,0.59,1206073070.87,1206073070.87,,,,,,,,,,,,,,,429634.87,396202.76,,,1168681803.46,1085655563.9,,,4079868.65,8125759.68,30363886.66,1462387.01,,,,,,,,,,,,43832178.29,6795399.18,217962.49,,50409614.98,7249733.16,43159881.82,43159881.81,0.01,-3901871.44,39258010.38,39258019.41,-9.03,,,,,,37761810.13,1808934.07,108027.19,,,,,,,,,,,,,,,1
54,300932.SZ,20210105,20210105,20200930,1,1,3,1.1828,1.1828,954337166.74,954337166.74,,,,,,,,,,,,,,,,8657.54,,,831476880.16,701007020.85,,,7537792.4,29728692.56,43414640.08,7186879.88,-7086257.26,,,,,,,,,,,130779585.42,1597192.51,865117.3,,131511660.63,21252284.99,110259375.64,111333695.71,-1074320.07,642301.98,110901677.62,111828908.89,-927231.27,,,,,,32191744.85,4834197.19,548135.8,,,,,,,,,,,,,,,0
55,605337.SH,20210119,20210119,20200930,1,1,3,1.24,1.24,726702893.73,726702893.73,,,,,,,,,,,,,,,,122207.74,,,567574758.17,456304274.96,,,5973202.63,68171171.35,30256157.91,985000.59,,,,,,,,,,,,185729290.37,2128587.69,1637685.21,,186220192.85,42248803.73,143971389.12,143971389.12,,,143971389.12,143971389.12,,,,,,,5863815.59,2251432.38,1358679.78,,,,,,,,,,,,,,,1
