,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
30,688367.SH,20210608,20210608,20200331,1,1,1,-0.005,-0.005,5411913.46,5411913.46,,,,,,,,,,,,,,,82294.74,84043.96,,,8123688.3,3728200.35,,,283336.17,1820141.17,2310982.77,-24666.09,,,,,,,,,,,,-162936.14,85000.0,600000.0,,-677936.14,-321072.1,-356864.04,-317202.41,-39661.63,,-356864.04,-317202.41,-39661.63,,,,,,2543099.3,,21730.15,,,,,,,,,,,,,,,0
31,301025.SZ,20210624,20210624,20200331,1,1,1,-0.02,-0.02,64335745.14,64335745.14,,,,,,,,,,,,,,,,76712.33,,,72974324.26,49367844.33,,,60586.44,7956579.07,8792141.91,-1055819.79,-8328284.7,,,,,,,,,,,-8561866.79,797112.99,0.01,,-7764753.81,-1900677.4,-5864076.41,-5864076.41,,,-5864076.41,-5864076.41,,,,,,,,,1078728.2,,,,,,,,,,,,,,,0
32,001208.SZ,20210602,20210602,20200331,1,1,1,0.02,0.02,303918009.88,303918009.88,,,,,,,,,,,,,,,-2459050.0,-163300.0,,,294303225.87,244666224.45,,,2115499.93,20881880.29,7523913.33,3605915.89,-3626684.94,,,,,,,,,,,7633049.62,674807.52,101000.0,,8206857.14,1054340.78,7152516.36,7152516.36,,-21713935.0,-14561418.64,-14561418.64,,,,,,,9323392.97,3927496.72,751061.52,,,,,,,,,,,,,,,0
33,688690.SH,20210603,20210603,20200331,1,1,1,0.0104,0.0104,25458684.06,25458684.06,,,,,,,,,,,,,,,,-13247.84,-13247.84,,23738917.26,5106741.78,,,684457.11,4866163.66,6567410.48,-662144.56,-265656.91,,,,,,,,,,,3773489.31,135167.76,6063.19,,3902593.88,626716.39,3275877.49,3689059.91,-413182.42,-39460.14,3236417.35,3649599.77,-413182.42,,,,,,6939546.79,23320.83,399846.59,,,,,,,,,,,,,,,1
34,603171.SH,20210608,20210608,20200331,1,1,1,0.07,0.07,271819513.09,271819513.09,,,,,,,,,,,,,,,,9807.45,-906753.97,,252523444.51,102507487.35,,,1486327.53,31558835.25,45800997.97,-13947980.15,,,,,,,,,,,,23909679.49,16477.51,10854.23,,23915302.77,-478911.6,24394214.37,24913736.26,-519521.89,,24394214.37,24913736.26,-519521.89,,,,,,82275824.39,9023.69,14606886.28,,,,,,,,,,,,,,,0
35,605011.SH,20210608,20210608,20200331,1,1,1,0.05,0.05,389036509.99,389036509.99,,,,,,,,,,,,,,,,12998167.52,12399308.83,,387740537.04,342848628.26,,,2338608.27,1224424.57,24194197.85,15748664.69,,,,,,,,,,,,26893834.8,105144.53,342366.0,,26656613.33,3733866.76,22922746.57,18836328.43,4086418.14,,22922746.57,18836328.43,4086418.14,,,,,,980724.7,17133293.62,1471079.19,,,,,,,,,,,,,,,0
36,688226.SH,20210616,20210616,20200331,1,1,1,-0.04,-0.04,112005695.62,112005695.62,,,,,,,,,,,,,,,,-779077.64,-258069.26,,116892732.97,89689960.88,,,755599.11,10865409.6,9355430.33,2471315.61,-344248.66,,,,,,,,,,,-4843892.48,155398.1,167358.13,,-4855852.51,-194654.91,-4661197.6,-4809623.44,148425.84,-2437925.08,-7099122.68,-7230763.54,131640.86,,,,,,5210060.36,2350309.92,65921.26,,,,,,,,,,,,,,,0
37,301020.SZ,20210616,20210616,20200331,1,1,1,0.11,0.11,77383192.91,77383192.91,,,,,,,,,,,,,,,,,,,63542285.55,48241922.64,,,923130.38,6699143.03,4084607.6,-236887.44,,,,,,,,,,,,14034660.59,1544.74,,,14036205.33,1790258.98,12245946.35,12245946.35,,,12245946.35,12245946.35,,,,,,,4502122.61,,,,,,,,,,,,,,,,,0
38,300984.SZ,20210604,20210604,20200331,1,1,1,0.36,0.36,130098876.98,130098876.98,,,,,,,,,,,,,,,14578.5,7272.11,,,115659547.36,103213633.08,,,986162.18,2255541.5,4905745.2,387908.05,-843082.93,,,,,,,,,,,16232355.53,,492550.79,,15739804.74,2886431.32,12853373.42,12853373.42,,,12853373.42,12853373.42,,,,,,,3688268.2,808955.63,169339.2,,,,,,,,,,,,,,,0
39,605056.SH,20210609,20210609,20200331,1,1,1,0.01,0.01,120056883.36,120056883.36,,,,,,,,,,,,,,,,211588.36,,,119460084.97,76386512.01,,,977885.04,31096659.3,26923107.42,-200599.85,,,,,,,,,,,,3828374.41,714258.45,126612.44,,4416020.42,3536162.92,879857.5,2813655.54,-1933798.04,7025.0,886882.5,2820680.54,-1933798.04,,,,,,3364231.66,66931.51,398360.32,,,,,,,,,,,,,,,0
