"Date","Open","High","Low","Close","Volume","Adj Close"
2015-12-07,149.2879,150.4079,146.5179,147.1079,68842000,147.1079
2015-12-08,146.8663,147.1263,145.0263,145.4863,56868000,145.4863
2015-12-09,145.5947,146.1547,144.9347,145.3247,59649000,145.3247
2015-12-10,145.313,146.323,144.423,144.463,37910000,144.463
2015-12-11,144.5714,144.7114,143.0214,143.4514,30406000,143.4514
2015-12-14,143.1264,144.4164,143.0064,143.4864,35482000,143.4864
2015-12-15,143.6148,145.3148,143.5948,143.8948,31201000,143.8948
2015-12-16,143.9632,144.8632,143.3132,143.6732,15456000,143.6732
2015-12-17,143.7315,147.5915,143.7315,145.5415,97004000,145.5415
2015-12-18,145.7599,145.9599,143.4899,143.7999,37062000,143.7999
2015-12-21,143.6349,146.6549,143.4249,146.2449,62954000,146.2449
2015-12-22,146.3433,146.7033,146.0033,146.4833,19165000,146.4833
2015-12-23,146.6016,147.2816,145.6216,146.0516,28494000,146.0516
2015-12-24,145.92,146.21,143.7,144.34,20317000,144.34
2015-12-25,144.3378,145.2978,144.3378,144.6678,12406000,144.6678
2015-12-28,144.3412,144.7912,144.3312,144.3812,9950000,144.3812
2015-12-29,144.689,144.889,142.389,142.579,19958000,142.579
2015-12-30,142.2068,142.7868,140.0168,140.1468,40975000,140.1468
2015-12-31,140.2347,140.5547,137.2847,137.9747,30473000,137.9747
2016-01-04,138.6559,138.9459,131.1759,133.0559,7060000,133.0559
2016-01-05,132.3037,133.3737,130.9837,132.1037,45482000,132.1037
2016-01-06,132.5415,133.4415,132.5415,133.1415,15105000,133.1415
2016-01-07,132.8793,133.0393,129.1093,129.6093,1304000,129.6093
2016-01-08,130.9571,132.9671,126.6471,129.5771,23789000,129.5771
2016-01-11,129.9605,129.9605,127.1605,127.4405,22221000,127.4405
2016-01-12,127.0784,129.8384,127.0784,129.3084,25251000,129.3084
2016-01-13,129.7562,130.4362,128.2062,128.5962,8216000,128.5962
2016-01-14,125.954,133.654,125.954,133.114,42889000,133.114
2016-01-15,133.1018,133.1118,129.7518,130.3918,17541000,130.3918
2016-01-18,129.9352,131.4052,125.9552,126.3052,38348000,126.3052
2016-01-19,126.243,126.443,116.053,120.573,122989000,120.573
2016-01-20,120.3708,120.5708,117.9608,118.2108,29579000,118.2108
2016-01-21,117.4386,119.9386,116.9386,117.5186,25291000,117.5186
2016-01-22,119.7364,119.9564,116.7364,117.9164,39134000,117.9164
2016-01-25,118.4599,121.7799,117.9299,120.4999,42892000,120.4999
2016-01-26,121.2277,122.3777,116.5477,116.8177,46368000,116.8177
2016-01-27,117.4355,119.8155,115.5255,118.3755,49838000,118.3755
2016-01-28,118.2233,120.4033,117.8233,118.4533,62418000,118.4533
2016-01-29,119.9011,122.9211,118.9211,122.6011,38811000,122.6011
2016-02-01,122.9145,124.3145,122.5945,123.2445,29545000,123.2445
2016-02-02,123.7823,125.4323,123.3323,124.8023,44370000,124.8023
2016-02-03,125.5101,126.7801,124.8101,125.4601,67941000,125.4601
2016-02-04,125.9079,126.3879,124.9479,125.0579,17081000,125.0579
2016-02-05,125.0658,125.7658,123.5058,123.8058,12790000,123.8058
2016-02-15,124.1838,124.1838,121.8938,123.6838,5693000,123.6838
2016-02-16,123.7016,127.7316,123.7016,127.6016,56311000,127.6016
