,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2567,000300.SH,20121203,2108.85,2136.696,2152.608,2108.149,2139.661,-30.811,-1.44,40186762.0,34173653.616
2568,000300.SH,20121130,2139.661,2114.244,2142.856,2109.963,2115.676,23.985,1.1337,36406911.0,28552066.162
2569,000300.SH,20121129,2115.676,2128.803,2140.877,2114.477,2129.161,-13.485,-0.6333,29670625.0,24016256.021
2570,000300.SH,20121128,2129.161,2142.5,2144.802,2126.03,2150.638,-21.477,-0.9986,30009339.0,24423321.714
2571,000300.SH,20121127,2150.638,2168.589,2173.464,2150.222,2175.599,-24.961,-1.1473,31946746.0,26149735.216
2572,000300.SH,20121126,2175.599,2187.24,2191.359,2172.1,2192.676,-17.077,-0.7788,24742696.0,22231498.412
2573,000300.SH,20121123,2192.676,2184.409,2202.47,2179.727,2177.546,15.13,0.6948,28667493.0,26307630.05
2574,000300.SH,20121122,2177.546,2181.179,2185.577,2169.657,2194.896,-17.35,-0.7905,22912351.0,21536153.037
2575,000300.SH,20121121,2194.896,2165.408,2195.461,2151.38,2164.881,30.015,1.3865,30508482.0,27121949.931
2576,000300.SH,20121120,2164.881,2180.205,2184.334,2163.527,2174.985,-10.104,-0.4646,23948916.0,22999196.16
2577,000300.SH,20121119,2174.985,2175.184,2176.492,2149.538,2177.24,-2.255,-0.1036,26978666.0,26737221.714
2578,000300.SH,20121116,2177.24,2189.511,2191.611,2162.976,2193.623,-16.383,-0.7468,30247786.0,26118247.405
2579,000300.SH,20121115,2193.623,2210.751,2220.987,2193.516,2223.11,-29.487,-1.3264,28319151.0,23778694.92
2580,000300.SH,20121114,2223.11,2213.086,2225.124,2205.996,2212.44,10.67,0.4823,26758790.0,23592323.468
2581,000300.SH,20121113,2212.44,2250.842,2250.842,2208.723,2251.848,-39.408,-1.75,34083704.0,28818451.577
2582,000300.SH,20121112,2251.848,2242.96,2254.703,2232.742,2240.924,10.924,0.4875,34721685.0,29040821.378
